Run,Event,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
163286,108933569,20.7568,0.779584,-0.286044,1,26.9081,-1.22227,2.5977,-1,72.734
163286,109060857,37.5667,2.28918,2.0526,-1,45.4315,1.47064,-1.16305,1,89.5897
163286,109275715,36.2901,-0.837253,-1.58592,1,60.5754,-0.48957,1.0496,-1,92.2522
163286,109030700,13.1171,0.776893,-0.780137,1,46.3687,-0.905384,2.55147,-1,67.665
163286,109075352,25.9705,-0.69742,1.63599,-1,45.2954,-2.04009,3.11875,1,67.8592
163286,109169766,41.0075,1.46192,-0.532464,1,45.9013,1.15606,2.47858,-1,87.6049
163286,109205958,42.1483,-0.491626,-2.86572,-1,21.3383,1.01768,0.634103,1,77.1479
163286,109038602,3.73662,-2.02526,0.33893,1,19.7583,2.21718,2.6165,-1,72.3453
163286,109084970,44.1661,2.5277,2.05213,1,19.6946,2.04293,-0.929822,-1,60.5447
163286,108947653,39.8985,-0.592666,-2.39472,1,34.8931,-2.24444,0.61061,-1,101.427
163286,109007623,39.5932,-1.84154,2.91591,-1,24.7746,0.694381,0.149091,1,119.542
163286,109359367,24.2701,1.00277,0.347363,-1,41.5707,1.66778,-2.72625,1,67.0366
163286,109491381,62.3848,1.07513,-1.76103,-1,43.4772,1.58284,1.47175,1,107.429
163286,109706365,20.1005,2.31546,1.45906,-1,18.0194,-0.329954,-1.19373,1,75.9499
163286,109478660,16.3733,1.1698,-1.43782,-1,61.7449,1.4282,1.43225,1,63.5428
163286,109789847,14.632,1.87787,2.3584,1,32.7541,-1.38096,-0.870062,-1,115.945
163286,109588192,17.442,-0.903706,0.0431131,-1,47.1938,-2.03923,-2.61251,1,65.4405
163286,109649403,24.318,-1.01806,-0.941938,-1,19.0213,1.87237,1.88868,1,96.0888
163286,109710715,16.2055,0.714989,-0.398591,-1,59.4158,1.35267,2.88272,1,65.0974
163286,109384412,23.4083,0.342465,-3.01916,-1,33.6492,-1.7514,0.517128,1,89.1302
163286,109632300,34.4723,-0.62019,0.255816,-1,19.5043,2.23801,-2.29649,1,113.471
163286,109457256,9.07293,-0.958758,2.99108,-1,18.2957,2.05903,0.4119,1,60.6872
163286,109677040,9.87054,-1.86316,-0.363191,-1,24.9528,0.712391,2.66986,1,61.1919
163286,110268001,32.3642,-0.534036,-2.67181,-1,40.6404,1.39099,0.074385,1,107.871
163286,110007564,23.9361,-0.902881,-2.40266,1,43.5646,-1.2574,0.415168,-1,64.77
163286,110104420,12.0289,1.37473,-0.190429,1,31.82,-1.02839,2.77498,-1,70.8567
163286,110297282,27.4283,0.555189,-1.47745,-1,32.1866,1.34506,1.83949,1,63.908
163286,110310826,41.3224,-1.24722,1.08253,1,43.1364,-1.60115,-2.21855,-1,85.5008
163286,110106153,38.5802,-0.772801,-1.57975,-1,38.4803,0.14109,1.5267,1,85.2358
163286,110304430,17.9714,-0.384247,-2.24503,1,82.9346,1.2092,0.946635,-1,103.025
163286,110493202,35.6338,1.97293,1.97661,-1,35.1704,1.31735,-1.30545,1,74.475
163286,110675522,41.759,0.0709018,2.36862,-1,25.9889,-1.03599,-1.3392,1,73.9827
163286,110435357,29.8759,0.327921,1.33372,-1,34.0971,-1.60323,-1.74058,1,95.9519
163286,110994527,22.5742,-0.220055,0.614381,-1,41.6735,-0.799532,-2.76911,1,63.5062
163286,110830653,11.9579,-1.72983,-2.50717,1,38.6278,1.42253,0.683015,-1,108.384
163286,111144317,21.0609,0.04989,-0.00835397,-1,58.9723,1.37987,-2.37386,1,82.4454
163286,111123865,14.3992,1.91244,0.315002,-1,26.1446,-1.67023,3.13762,1,119.443
163286,111133569,35.3177,-0.0196275,2.75162,1,48.0224,0.799921,-0.324937,-1,89.3385
163286,111229193,24.4866,-1.1939,-2.16872,-1,95.6781,-1.3786,1.41434,1,94.8801
163286,111259301,21.2458,1.29229,3.11753,1,18.2363,-0.972637,-0.901403,-1,65.3206
163286,111096706,27.861,1.17447,0.280947,-1,36.6042,-1.13868,-2.93006,1,111.545
163286,110948979,10.3167,-0.976529,2.20778,-1,24.6456,1.68273,-1.12678,1,64.4141
163286,110925602,31.0089,-0.748869,-0.580192,1,24.8238,-2.41644,2.56304,-1,75.9207
163286,111125290,38.1513,-0.959871,0.745925,-1,61.6516,-0.249622,-2.50714,1,103.036
163286,111118334,23.3029,0.738223,0.7203,-1,25.2002,-2.18215,-2.3747,1,109.987
163286,111035897,34.4047,1.26959,-3.09654,1,57.7365,2.24204,0.511885,-1,97.7331
163286,110865947,25.5716,1.2476,-2.40612,-1,54.7574,-0.622544,1.1337,1,109.012
163286,111236931,27.0851,1.10201,-1.50459,1,44.4463,2.3973,2.37445,-1,80.6734
163286,111048004,30.6102,0.276809,-0.63141,1,38.8784,1.88998,2.49374,-1,92.6801
163286,111599320,39.0517,1.2233,2.46506,-1,74.3241,0.272615,-0.906321,1,119.517
163286,111667969,28.8167,-0.510396,-3.0289,1,30.3279,2.09808,-0.242137,-1,116.491
163286,111543719,30.206,-2.21116,-0.568794,1,33.0941,-2.07269,2.67502,-1,63.3034
163286,111418450,28.9414,-1.41381,-1.34145,1,34.5373,0.528459,1.20363,-1,93.6409
163286,111481046,45.7907,-1.237,2.51979,-1,57.3001,-2.29991,-0.681036,1,117.218
163286,111568358,29.5581,-0.921529,2.60425,1,17.7337,0.709207,-0.736986,-1,61.7045
163286,111553043,25.0516,1.07945,1.40276,1,12.3699,-2.19369,-1.69792,-1,93.8624
163286,111418069,13.1013,-0.558709,2.13868,1,26.1151,1.97901,-1.12735,-1,70.9534
163286,111608533,27.4528,1.19326,2.17068,-1,45.0307,-0.878394,1.50217,1,89.6018
163286,111602701,18.1969,0.588688,2.19736,1,118.485,1.11984,-1.66555,-1,90.4043
163286,111883844,9.07482,-0.805504,0.644747,1,33.7939,1.83869,-2.0936,-1,70.0107
163286,112162828,15.9109,-0.763825,-1.51891,-1,53.4475,-0.256195,1.56349,1,60.1872
163286,112128579,46.4312,0.19254,0.671362,-1,48.4596,-0.25049,-2.57053,1,97.0898
163286,111946088,11.5204,-0.916661,-0.948931,-1,36.4726,2.34106,2.33343,1,108.484
163286,112033944,29.0799,1.25402,-1.905,-1,18.2559,-1.0262,0.400628,1,77.185
163286,111816172,29.0161,0.719403,2.34316,-1,21.4568,-2.4086,0.679738,1,119.813
163286,112231277,31.1583,0.871418,-3.09543,-1,14.2776,-1.22373,-1.57747,1,60.1915
163286,112003673,7.26739,-2.19515,1.62936,-1,43.864,1.12715,2.75778,1,92.6082
163286,112545460,56.2443,0.683527,-1.02922,-1,49.752,0.591954,1.82163,1,104.793
163286,112541044,34.0134,0.0769341,-1.78601,1,48.6909,-0.641173,1.62155,-1,86.0202
163286,112300423,37.0745,-1.4465,-2.61821,1,55.2944,-0.497234,0.677746,-1,100.705
163286,112685350,16.879,0.539516,2.90732,1,28.2713,-2.25563,-0.203829,-1,93.7677
163286,112399957,16.3066,0.567153,-0.409161,-1,43.5973,-2.20461,3.01387,1,113.03
163286,112420523,11.7518,-0.50546,1.48377,1,21.4505,2.32191,-1.62431,-1,69.132
163286,112654013,9.10854,1.97751,2.11927,1,23.2686,-2.19376,-2.41708,-1,117.52
163286,112777466,10.4177,0.894961,-0.0334761,-1,24.8763,-1.64362,3.0619,1,61.8023
163286,113111028,35.9388,-0.506979,-0.94066,1,19.8134,1.6278,2.09976,-1,86.7281
163286,113152148,33.5547,0.164449,-3.07776,1,15.3753,2.40564,0.167848,-1,77.0263
163286,113125184,42.5004,0.488695,-0.635695,1,44.0825,1.14622,2.48927,-1,91.2864
163286,112816146,41.4244,-0.216398,-2.34856,-1,40.4068,0.53266,0.807795,1,87.629
163286,112797695,24.5599,-0.189832,-0.310061,1,48.1059,-0.604631,2.5969,-1,69.7665
163286,112883340,12.6512,-1.45962,0.864691,-1,32.3193,0.834734,-1.57031,1,68.691
163286,112738376,7.05027,-2.02234,-0.742527,1,27.9365,2.21317,-1.87324,-1,115.95
163286,113074528,11.6307,-1.27883,-0.127712,-1,7.5403,2.44583,2.02732,1,61.1116
163286,113097568,17.5318,-0.548464,0.158024,1,30.6611,1.70741,-3.05834,-1,79.1111
163286,112809953,31.3825,-1.36723,1.14971,-1,51.2533,-0.209908,-2.83275,1,88.1352
163286,113004694,42.8442,-1.19442,0.454485,1,57.2834,-1.29524,2.65505,-1,88.4556
